,,,Date,Sale Amount,Deed Type,Book/Page,Sale Type,Qualified,Built,Bed,Bath,Living,Acres,Pool,,
,Subdivision: SUTTON PLACE TOWNHOMES A REPLAT - 65 items,,,,,,,,,,,,,,,
,,Parcel #: 16-21-29-531-0000-0520 - 1 item,,,,,,,,,,,,,,
,,,Address: 208 SILVERGLEN LN - 4 items,,,,,,,,,,,,,
,,,08/2016,"$187,000",WARRANTY DEED,08763/1966,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,01/2014,"$170,000",WARRANTY DEED,08207/1747,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,09/2011,"$134,000",SPECIAL WARRANTY DEED,07637/0750,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,05/2022,"$310,000",WARRANTY DEED,10243/1319,Improved,No,2011,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0530 - 1 item,,,,,,,,,,,,,,
,,,Address: 210 SILVERGLEN LN - 3 items,,,,,,,,,,,,,
,,,08/2013,"$146,500",WARRANTY DEED,08138/0279,Improved,Yes,2011,2,2.5,1443,0.03,false,,
,,,07/2011,"$127,600",SPECIAL WARRANTY DEED,07606/0987,Improved,Yes,2011,2,2.5,1443,0.03,false,,
,,,05/2017,"$64,700",QUIT CLAIM DEED,08989/0782,Improved,No,2011,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0540 - 1 item,,,,,,,,,,,,,,
,,,Address: 212 SILVERGLEN LN - 1 item,,,,,,,,,,,,,
,,,07/2011,"$128,000",SPECIAL WARRANTY DEED,07602/1858,Improved,Yes,2011,2,2.5,1443,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0550 - 1 item,,,,,,,,,,,,,,
,,,Address: 214 SILVERGLEN LN - 2 items,,,,,,,,,,,,,
,,,01/2015,"$169,000",WARRANTY DEED,08410/0163,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,,06/2011,"$135,400",SPECIAL WARRANTY DEED,07593/1108,Improved,Yes,2011,3,2.5,1572,0.03,false,,
,,Parcel #: 16-21-29-531-0000-0560 - 1 item,,,,,,,,,,,,,,
